roles,companies,locations,experience,skills
Data Scientist,"Redaptive, Inc",Bengaluru,0-4 Yrs,"logistic regression
data analysis
client servicing
trend analysis
data mining
individual contributor
sql
python"
Data Scientist,"Redaptive, Inc",Bengaluru,0-5 Yrs,"automation
machine learning
agile
healthcare
product design
perl
information technology
analytics"
Data Scientist,"Redaptive, Inc",Bengaluru,0-6 Yrs,"deep learning
data analysis
git
analytical
mysql
machine learning
data visualization
data mining"
Data Scientist,"Redaptive, Inc","Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,"deep learning
tdd
deployment
natural language processing
test driven development
mongodb
sql
python"
Product Data Scientist,"Redaptive, Inc",Bengaluru,0-7 Yrs,"economics
analytical
programming
statistics
data
program
analytics"
Data Scientist,"Redaptive, Inc",Bengaluru,0-2 Yrs,"computer vision
c++
image processing
memory management
neural networks
mysql
machine learning
stored procedures"
Data Scientist / Data Analyst,"Redaptive, Inc",Panaji,3-5 Yrs,"data analysis
analytical
machine learning
predictive modeling
microsoft
operations
analytics
sql"
FTE - LLM_Data Scientist/Data Analyst- Remote Job,"Redaptive, Inc",Remote,24 Sep - 25 Sep,"database management system
data analysis
data scientist
python programming
python coding
python data analytics
data structures
problem solving"
Data Scientist: AI/ML Engineer,"Redaptive, Inc",Bengaluru,2-6 Yrs,"multithreading
rest
python
data analytics
asynchronous apex
kubernetes
openshift
redhat linux"
Data Scientist: AI/ML Engineer,"Redaptive, Inc",Bengaluru,3-7 Yrs,"multithreading
podman
python
data analytics
asynchronous apex
kubernetes
openshift
redhat linux"
Data Scientist: AI/ML Engineer,"Redaptive, Inc",Bengaluru,7-10 Yrs,"multithreading
rest
python
data analytics
asynchronous apex
kubernetes
openshift
redhat linux"
Data Scientist: AI/ML Engineer,"Redaptive, Inc",Bengaluru,7-9 Yrs,"multithreading
rest
python
data analytics
asynchronous apex
kubernetes
openshift
redhat linux"
Data Scientist (NLP Focus),"Redaptive, Inc","Hyderabad, Bengaluru, Delhi / NCR",7-12 Yrs,"python
data science
tensorflow
pytorch
nlp
text analytics
text mining
machine learning"
Data Engineer/ Data Scientist,"Redaptive, Inc","Hybrid - Kochi, Bengaluru",6-11 Yrs,"python
azure cloud
gcp
data engineering
data
microsoft azure
cloud"
Data Scientist,Ample Softech System,Pune,0-5 Yrs,"and data analysis.
machine learning
data science
deep learning
machine
data analysis
data
science"
Data Scientist,Ample Softech System,Gurugram,0-2 Yrs,"data science
ai techniques
r
data scientist
machine learning
python
machine
data"
Data Scientist,Ample Softech System,New Delhi,0-5 Yrs,"statistical modeling
analytical
machine learning
deployment
data visualization
data mining
python
data"
ML / Data Scientist / Gen AI Specialist,Ample Softech System,Pune,0-4 Yrs,"relationship management
health insurance
sales
networking
relationship building
paas
customer support
b2b sales"
Data Scientist,Ample Softech System,Remote,0 Yrs,"data science
business intelligence
data engineering
natural language processing
debugging
data cleansing
machine learning
deep learning"
Data Scientist,Ample Softech System,Hyderabad,0-2 Yrs,"deep learning
data science
artificial intelligence
data collection
packaging
data analytics
python
testing"
Data Scientist,Ample Softech System,Nagpur,No fixed duration,
Data Scientist,Ample Softech System,Pune,0-1 Yrs,"computer science
data analysis
pdf
data science
data manipulation
demand forecasting
machine learning
programming"
Data scientist,Ample Softech System,Gurugram,0-1 Yrs,"computer science
data analysis
sas
machine learning
data structures
data processing
predictive modeling
pattern recognition"
ML / Data Scientist / Gen AI Specialist,Ample Softech System,Pune,0-4 Yrs,"software architecture
interpersonal skills
data science
data modeling
analytical
machine learning
data structures
statistics"
Data Scientist,Ample Softech System,Mumbai,0-7 Yrs,"product management
data analysis
data modeling
analytical
database
model development
analytics
sql"
Data Scientist: Artificial Intelligence,Ample Softech System,"Hyderabad, Bengaluru",3-7 Yrs,"algorithms
python
data analytics
artificial intelligence
ml
data analysis
natural language processing
pyspark"
Data Scientist with Mathematics,Ample Softech System,Remote,5-10 Yrs,"mathematics
data science
transfer learning
python
multivariable calculus
cnn
logistic regression
lstm"
Data Scientist,Ample Softech System,Hybrid - Bengaluru,6-10 Yrs,"r
machine learning
python
data
machine"
Data Scientist,Ample Softech System,"Hybrid - Gurugram, Mumbai (All Areas)",3-5 Yrs,"data science
data mining
data visualization
data werehousing
azure data factory
power bi
storytelling
azure databricks"
Data Scientist - BLR/ HYD/ GGN,Ample Softech System,"Hybrid - Hyderabad, Gurugram, Bengaluru",6-11 Yrs,"data science
predictive modeling
decision tree
text analytics
natural language processing
neural networks
text mining
llm"
Data Scientist - AEP,Ample Softech System,Bengaluru,5-9 Yrs,"data analysis
data science
image processing
web analytics
data modeling
machine learning
adobe
digital marketing"
Data Scientist,Ample Softech System,Bengaluru,7-12 Yrs,"advance sql
customer analytics
presentation skills
web analytics
marketing analytics
digital marketing
applied mathematics
python"
"DISTINGUISHED, DATA SCIENTIST",Ample Softech System,Bengaluru,10-14 Yrs,"c++
data management
coding
sez
data structures
data visualization
business strategy
information technology"
Data Scientist: Artificial Intelligence,Ample Softech System,Bengaluru,5-7 Yrs,"python
data analytics
artificial intelligence
tableau
ml
hive
algorithms
data analysis"
Data Scientist,Genpact,Bengaluru,6-9 Yrs,"machine learning
python
data science
statistics
machine
data
science"
Data Scientist,Genpact,Bengaluru,5-10 Yrs,"statistical modeling
deployment
python
testing
data
statistics
modeling
software testing"
Data Scientist,Genpact,Bengaluru,2-3 Yrs,"backend
git
coding
machine learning
healthcare
data quality
monitoring
sql"
Data Scientist,Genpact,Bengaluru,7-9 Yrs,"data management
data science
analytical
banking
manager technology
data quality
data analytics
financial services"
Data Scientist,Genpact,Bengaluru,4-6 Yrs,"supply chain
computer science
data analysis
operations research
data science
coding
machine learning
data mining"
Advanced Data Scientist,Genpact,Bengaluru,5-6 Yrs,"procurement
pharma
analytical
financial planning
healthcare
data processing
continuous improvement
analytics"
Data Scientist,Genpact,"Hyderabad, Bengaluru",3-6 Yrs,"machine learning
business rules
data analytics
data visualization
research
sql
python
rules"
Data Scientist/Data Analyst - LLM,Genpact,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"computer science
analytical skills
data analysis
artificial intelligence
consulting
data analyst
silicon
data analytics"
Data Scientist & Analyst,Genpact,Bengaluru,5-7 Yrs,"computer science
c++
data analysis
simulation
coding
mysql
machine learning
javascript"
Forecasting Analyst / Data Scientist,Genpact,Bengaluru,2-7 Yrs,"bpo
analyst
statistical modeling
process documentation
analytical
trend analysis
budgeting
forecasting"
Data Scientist,Genpact,"Gandhinagar, Ahmedabad, Vadodara",4-9 Yrs,"data science
predictive modeling
pyspark
amazon ec2
logistic regression
natural language processing
credit risk modelling
machine learning"
Data Scientist,Genpact,Remote,1-6 Yrs,"data science
data scientist
artificial intelligence
python
data
science
intelligence"
Data Scientist,Genpact,Bengaluru,3-6 Yrs,"c#
algorithms
python
modeling
data analysis
data analytics
predictive
microsoft azure"
Data Scientist,Genpact,Remote,4-8 Yrs,"data science
data cleansing
aiml
forecasting
java
r
ml algorithms
stakeholder management"
Data Scientist,Genpact,Nehru Place,3-8 Yrs,"data science
azure
model creation/ solution
scikit-learn
numpy
pytorch
opencv
gcp"
Data Scientist,Genpact,Gurugram,3-8 Yrs,"data science
azure
model creation/ solution
scikit-learn
numpy
pytorch
opencv
gcp"
Data Scientist,Genpact,Ghaziabad,3-8 Yrs,"data science
azure
model creation/ solution
scikit-learn
numpy
pytorch
opencv
gcp"
Data Scientist,Genpact,Noida,3-8 Yrs,"data science
azure
model creation/ solution
scikit-learn
numpy
pytorch
opencv
gcp"
Data Scientist,Genpact,Bengaluru,1-2 Yrs,"operations research
prototype
version control
machine learning
data processing
sql
python
technical documentation"
Data Scientist,Genpact,Bengaluru,5-9 Yrs,"solution architecture
deep learning
sas
analytical
artificial intelligence
machine learning
data visualization
sql"
Data Scientist,Pega,Bengaluru,6-11 Yrs,"product management
logistic regression
core java
pdf
neural networks
machine learning
agile
pega"
Data Scientist - Telco,Pega,Bengaluru,2-7 Yrs,"telecom
nosql
neural networks
analytical
machine learning
forecasting
operations
sql"
Data Scientist (Telco),Pega,"Gurugram, Bengaluru",2-7 Yrs,"telecom
logistic regression
analytical
social media
machine learning
forecasting
operations
financial services"
Data Scientist,Pega,Bengaluru,1-2 Yrs,"computer science
operations research
prototype
version control
formulation
machine learning
data processing
sql"
Data Scientist and Machine Learning Engineer,Pega,"Pune, Bengaluru",4-8 Yrs,"java
machine learning
r
python
tensorflow
exploratory data analysis
natural language processing
model lifecycle management"
Data Scientist and Machine Learning Engineer,Pega,"Pune, Bengaluru",3-7 Yrs,"data analysis
analytical
machine learning
data collection
data processing
data quality
natural language processing
regression analysis"
Sr Data Scientist - Advanced Machine Learning,Pega,Bengaluru,3-4 Yrs,"supply chain
product engineering
data analysis
analytical
machine learning
data structures
troubleshooting
sql"
Data Scientist,Pega,Remote,2-7 Yrs,"data science
python
data analysis
analysis
data
science"
Data Scientist,Pega,Chennai,9-13 Yrs,"cloud
data scientist
python
senior data scientist
machine learning engineer
aws
data scientist lead
machine learning"
Data Scientist: Artificial Intelligence,Pega,Gurugram,5-9 Yrs,"python
data analytics
tableau
data visualization
machine learning algorithms
algorithms
natural language processing
machine learning"
Data Scientist: Artificial Intelligence,Pega,Gurugram,3-7 Yrs,"python
data analytics
artificial intelligence
tableau
ml
hive
algorithms
data analysis"
Data AI | Data Scientist,Pega,Noida,5-10 Yrs,"python
project management
data analysis
analytical
data mining
engineering
machine learning
tools"
Data Scientist,Pega,Hyderabad,8-10 Yrs,"model development
machine learning
python
development
machine
data"
Data Scientist: Artificial Intelligence,Pega,Gurugram,5-8 Yrs,"python
data analytics
tableau
data visualization
machine learning algorithms
algorithms
natural language processing
machine learning"
Data Scientist: Artificial Intelligence,Pega,Pune,5-7 Yrs,"python
data analytics
artificial intelligence
tableau
ml
hive
algorithms
data analysis"
Data Scientist,Pega,"Mumbai, Pune",8-12 Yrs,"python
pyspark
pandas
tensorflow
stakeholder management
continuous integration
cnn
performance tuning"
Data Scientist,Pega,Noida,2-7 Yrs,"product management
health insurance
claims
hcpcs
medical coding
healthcare
life sciences
business strategy"
SD1 Data Scientist,Pega,Pune,6-11 Yrs,"deep learning
data analysis
consulting
machine learning
turbine
siemens
individual contributor
forecasting"
Data Scientist: Artificial Intelligence,Pega,Gurugram,3-7 Yrs,"python
node.js
tableau
java
lambda expressions
db servers
oracle
dynamo db"
Data Scientist: Artificial Intelligence,Pega,Pune,3-7 Yrs,"python
node.js
tableau
java
lambda expressions
db servers
oracle
dynamo db"
Data Scientist,Globallogic,Noida,5-10 Yrs,"python
project management
data analysis
analytical
data mining
engineering
machine learning
tools"
Data Scientist,Globallogic,Chennai,3-8 Yrs,data scientist
Data Scientist,Globallogic,Pune,6-9 Yrs,"data science
machine learning
siemens
html
data mining
business intelligence
operations
analytics"
Data Scientist,Globallogic,Gurugram,2-6 Yrs,"data analysis
statistical analysis
data science
machine learning
siemens
programming
model development
statistics"
Data Scientist,Globallogic,Pune,3-5 Yrs,"deep learning
version control
git
gcp
time management
analytical
cloud
agile"
Data Scientist - Machine Learning,Globallogic,Gurugram,2-7 Yrs,"computer science
operations research
data science
bfsi
network analysis
machine learning
social networking
natural language processing"
Data Scientist,Globallogic,Hyderabad,3-8 Yrs,"data science
nlp
software engineering
data scientist
natural language processing
computer science
machine learning
deep learning"
Gen AI Data Scientist,Globallogic,Chennai,2-6 Yrs,"text mining
deep learning
c++
linux
machine learning
sensors
research
automotive"
Gen AI Data Scientist,Globallogic,Chennai,2-6 Yrs,"computer science
text mining
deep learning
c++
linux
machine learning
sensors
research"
Data Scientist,Globallogic,Remote,3-8 Yrs,"hive
data analysis
excel
data science
spark
machine learning
php
html"
Data Scientist,Globallogic,Pune,6-12 Yrs,"statistical programming
tableau
data science
machine learning
scala
programming
data visualization
statistics"
Data Scientist,Globallogic,Noida,3-8 Yrs,"computer science
deep learning
spark
machine learning
hadoop
programming
manager technology
big data"
Statistical Data Scientist,Globallogic,Chennai,4-7 Yrs,"statistical programming
statistics
programming
data
program"
Data Scientist,Globallogic,Remote,8-10 Yrs,"mining
text mining
logistic regression
machine learning
data mining
open source
continuous improvement
forecasting"
Data Scientist,Globallogic,Hybrid - Hyderabad,8-12 Yrs,"data science
predictive modeling
python
pyspark
azure databricks
demand forecasting
machine learning
sql"
Data Scientist: Artificial Intelligence,Globallogic,Chennai,3-7 Yrs,"python
node.js
tableau
java
lambda expressions
db servers
oracle
dynamo db"
Data Analyst & Data Scientist,Globallogic,Gurugram,3-8 Yrs,"computer hardware
costing
coding
analytical
data processing
ms office
data mining
forecasting"
Data Scientist and Analyst,Globallogic,Pune,2-6 Yrs,"data management
business analytics
machine learning
data governance
data analyst
data quality
natural language processing
data mining"
Data scientist / Data Analyst / AI Expert,Globallogic,Bhubaneswar,1-2 Yrs,"elixir
django
intranet
artificial intelligence
web development
machine learning
scala
open source"
Data Scientist,Globallogic,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,"data analysis
usage
git
data science
data modeling
data security
machine learning
troubleshooting"
Data scientists,Mirafra,Bengaluru,3-12 Yrs,data scientists
Data Scientist / Decision Scientist,Mirafra,Bengaluru,3-5 Yrs,"cloud computing
data science
neural networks
machine learning
programming
telematics
data visualization
automotive"
Data Scientist,Mirafra,Bengaluru,2-4 Yrs,"nosql
machine learning
performance testing
scm
troubleshooting
forecasting
monitoring
sql"
NLP Data Scientist - Real World Data (RWD),Mirafra,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",7-8 Yrs,"computer science
health insurance
pharma
analytical
agile
healthcare
life sciences
open source"
Developer (Data Scientist),Mirafra,Bengaluru,3-6 Yrs,"continuous integration
kubernetes
cuda
python
natural language processing
neural networks
openshift
aws sagemaker"
Developer (Data Scientist),Mirafra,Bengaluru,3-6 Yrs,"deep learning
neural networks
opencv
data collection
programming
deployment
aws
python"
Data Scientist,Mirafra,Bengaluru,5-7 Yrs,"relationship management
erp
surgical
pharma
analytical
healthcare
digital marketing
ms office"
Data Scientist,Mirafra,"Hyderabad, Coimbatore, Bengaluru, comibatore",5-8 Yrs,"genesys
data science
software development
docker
version control
ci/cd
rag
ml models"
Immediate Hiring For- Data Scientist,Mirafra,Pune,4-6 Yrs,"machine learning
python
sql
machine
data
hiring"
Data Scientist,Mirafra,Hybrid - Pune(Hinjewadi),5-10 Yrs,"etl
hadoop
ml tools
spark
etl tool
python
tools
data"
Data Scientist,Mirafra,"Mumbai, Pune",8-12 Yrs,"assoiate diretor
computer vision
mahine learning
gcp
flex
monitoring
sql
python"
Data Scientist,Mirafra,Hyderabad,4-8 Yrs,"unix
data analysis
linux
project management
process improvement
data mining
financial services
sql"
Data Scientist,Mirafra,Chennai,4-8 Yrs,"deep learning
coding
gcp
cloud services
machine learning
programming
data structures
natural language processing"
Graduate Data Scientist,Mirafra,"Mumbai, Navi Mumbai",5-10 Yrs,"computer science
data analysis
automation
architecture
analytical
machine learning
data quality
information technology"
Data Scientist,Mirafra,"Mumbai, Pune",3-6 Yrs,"computer vision
deep learning
data analysis
mahine learning
data siene
cloud
artifiial intelligene
deployment"
Data Scientist I,Mirafra,"Mumbai, Navi Mumbai",4-7 Yrs,"training
data analysis
architecture
data science
machine learning
data structures
data quality
information technology"
Machine Learning Engineer and Data Scientist,Mirafra,Surat,2-6 Yrs,"computer science
cloud computing
data analysis
data science
gcp
artificial intelligence
machine learning
natural language processing"
Data Engineer & Data Scientist,Mirafra,Hyderabad,2-6 Yrs,"deep learning
data science
devops
machine learning
data collection
infrastructure
deployment
budgeting"
Data Scientist / Data Engineer,Mirafra,Pune,2-4 Yrs,"git
data structures
data processing
scheduling
management
python
testing
data"
ML Engineer / Data Scientist,Mirafra,Rangareddy,2-4 Yrs,"algorithms
python
modeling
data analysis
data analytics
natural language processing
predictive
machine learning"
Marketing Data Scientist / Engineer,FIS,Gurugram,3-6 Yrs,"automation
data analysis
data migration
coding
machine learning
data quality
data mining
forecasting"
Machine Learning Engineer/Data Scientist,FIS,Pune,2 Yrs,"data analysis
data science
kpi
artificial intelligence
project management
machine learning
manager technology
business case"
ML Engineer / Data Scientist,FIS,"New Delhi, Hyderabad",5-10 Yrs,"computer science
product engineering
linux
artificial intelligence
machine learning
agile
data collection
html"
Business Intelligence Analyst (Data Scientist),FIS,Pune(Senapati Bapat Road),3-4 Yrs,"data extraction
competitor analysis
data analysis
data visualization
dashboards
data mining
data cleansing
fmcg"
Urgent Req: Data Scientist with AWS Glue and Apache spark,FIS,Pune,5-10 Yrs,"apache
spark
aws glue
python
glue
data
aws"
Data Scientist (Computer Vision)_Mumbai (Bhandup),FIS,Mumbai (All Areas),5-10 Yrs,"data scientist
computer vision
python
ocr
client coordination
image processing
image recognition
client"
Data Scientist,FIS,Remote,3-8 Yrs,"data science
python
amalayst
machine learning
machine
data
science"
Data Science and Data Scientist Trainer,FIS,Hybrid - Chennai,6-10 Yrs,"knowledge in python
data science
r
sql
experience teaching
python
science
training"
Lead Data Scientist - Predictive Modeling & Machine Learning,FIS,Chennai,5-8 Yrs,"machine learning
data science
predictive modeling
nlp
data scientist
data analytics
computer vision
sql"
Data Scientist,FIS,Bangalore Rural,3-6 Yrs,"kubernetes
natural language processing
hypothesis testing
scikit-learn
forecasting
data mining
microsoft azure
datafactory"
Data scientist,FIS,Bengaluru,4-11 Yrs,"machine learning
agile
model development
natural language processing
data visualization
microsoft
predictive analytics
monitoring"
Data Scientist,FIS,Bengaluru,3-5 Yrs,"algorithms
python
data analysis
access
linear regression
random forest
machine learning
data engineering"
Data Scientist,FIS,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,"data analysis
usage
git
data science
data modeling
data security
machine learning
troubleshooting"
Data Scientist,FIS,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,"supply chain
data analysis
coding
agile
data processing
fmcg
data mining
monitoring"
Data Scientist - GCP,FIS,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",4-8 Yrs,"data science
generative ai
gcp
machine learning
python
aiml
gcp cloud
artificial intelligence"
Data Scientist + Gen AI - Immediate Joiners,FIS,"Hybrid - Pune, Chennai, Bengaluru",6-11 Yrs,"data science
generative ai
natural language processing
machine learning
python
deep learning
machine
process"
Data Scientist,FIS,"Hyderabad, Bengaluru",10-15 Yrs,"python
pyspark
deep learning
tensorflow
azure
nosql
machine learning
keras"
Data Scientist,FIS,Bengaluru,2-5 Yrs,"sql
python
pyspark
data bricks
data
bricks"
Data Scientist (1),FIS,Bengaluru,5-10 Yrs,"computer science
pdf
data management
data science
machine learning
deployment
scientist 1
data mining"
Data Scientist,FIS,"Mumbai, Gurugram, Bengaluru",10-12 Yrs,"data science
python
power bi
data scientist
machine learning
change management
sql
statistics"
Data Scientist - Gurugram - WFO,Newgen,Gurugram,2-7 Yrs,"pytorch
deep learning
generative ai
python
artificial intelligence
wfo
data"
Data Scientist,Newgen,Bengaluru,2-5 Yrs,"computer science
c
project management
analytical
machine learning
legal
manager technology
wellness"
Data Scientist,Newgen,Bengaluru,2-6 Yrs,"computer vision
deep learning
consulting
machine learning
data processing
natural language processing
forecasting
analytics"
Data Scientist - Machine Learning,Newgen,Bengaluru,3-5 Yrs,"machine learning
data science
predictive modeling
scipy
generative ai
data scientist
pyspark
pandas"
Data Scientist,Newgen,Bengaluru,3-7 Yrs,"analytical skills
data analysis
french
spanish
natural language processing
manager quality control
data mining
object oriented programming"
Data Scientist I B - GBS,Newgen,Hyderabad,5-8 Yrs,"data analysis
software design
consulting
oracle
risk management
jira
software implementation
sql"
Data Scientist,Newgen,Bengaluru,5-8 Yrs,"computer science
automation
machine learning
information retrieval
natural language processing
aws
analytics
sql"
Data Scientist,Newgen,Bengaluru,5-7 Yrs,"computer science
vista
consulting
machine learning
data visualization
open source
analytics
private equity"
Data Scientist,Newgen,Bengaluru,5-7 Yrs,"computer science
computer vision
gcp
machine learning
performance testing
stored procedures
troubleshooting
monitoring"
Data Scientist,Newgen,Bengaluru,2-3 Yrs,"excel
statistical analysis
analytical
consulting
hypothesis testing
data visualization
forecasting
sql"
Data Scientist,Newgen,Bengaluru,2-3 Yrs,"computer science
excel
statistical analysis
analytical
consulting
hypothesis testing
data visualization
forecasting"
Data Scientist,Newgen,Bengaluru,3-8 Yrs,"erp
data analysis
sas
simulation
analytical
machine learning
healthcare
data mining"
Data Scientist,Newgen,"Hybrid - Pune, Chennai, Bengaluru",7-12 Yrs,"cloud
machine learning
python
generative ai
nlp
ai
rag
deep learning"
Data Scientist,Newgen,"Mumbai, Bengaluru, Thiruvananthapuram",3-8 Yrs,"version control
machine learning
software development life cycle
open source
forecasting
aws
object oriented programming
monitoring"
Data Scientist,Newgen,Bengaluru,4-6 Yrs,"data science
data visualization
artificial intelligence
data analysis
statistical modeling
data mining
ab testing
machine learning"
Data Scientist,Newgen,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"computer science
training
data science
machine learning
programming
natural language processing
research
python"
Data Scientist - WFO(Chennai),Newgen,Chennai,4-6 Yrs,"machine learning
python
sql
machine
wfo
data"
Data Scientist,Newgen,Bengaluru(Manayata Tech Park),2-7 Yrs,"artificial intelligence
machine learning
ml algorithms
data science
ai algorithms
big data analytics
aws cloud
cloud platform"
Data Scientist - AI / ML,Newgen,Hybrid - Bengaluru,3-5 Yrs,"data science
algorithms
gen ai
nlp
ai research
ml research
model deployment
machine learning"
Data Scientist / Decision Scientist,Newgen,Gurugram,4-7 Yrs,"cloud computing
powertrain
neural networks
machine learning
telematics
sensors
data visualization
automotive"
Data Scientist,Maruti Suzuki,New Delhi,2-5 Yrs,"sas
data security
analytical
machine learning
customer retention
data collection
marketing operations
principal"
Data Scientist,Maruti Suzuki,Bengaluru,3-7 Yrs,"product management
data analysis
talent acquisition
gcp
artificial intelligence
service engineering
machine learning
cloud"
Data Scientist,Maruti Suzuki,Bengaluru,2-4 Yrs,"data science
deep learning
r
nlp
data analysis
power bi
business analytics
business development"
Data Scientist,Maruti Suzuki,"Hyderabad, Bengaluru",5-8 Yrs,"aws
python developer
tensorflow
pyspark
machine learning
python development
keras
development"
Data Scientist,Maruti Suzuki,"Pune, Gurugram, Bengaluru",4-9 Yrs,"machine learning
python
sql
market mix modelling
regression
marketing mix
clustering
mmm"
Data Scientist,Maruti Suzuki,Bengaluru,4-8 Yrs,"product management
data analysis
talent acquisition
gcp
artificial intelligence
service engineering
machine learning
cloud"
Data Scientist,Maruti Suzuki,Hybrid - Bengaluru,7-12 Yrs,"data science
tensorflow
machine learning
deep learning
python
pytorch
kafka
keras"
Data Scientist,Maruti Suzuki,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,"data analysis
usage
git
data science
data modeling
data security
machine learning
troubleshooting"
Machine Learning Data Scientist - NLP,Maruti Suzuki,"Hyderabad, Bengaluru",3-7 Yrs,"front end
machine learning
information retrieval
natural language processing
open source
analytics
python
salesforce"
Data Scientist,Maruti Suzuki,Bengaluru,3-8 Yrs,"computer science
data analysis
sas
data science
mis
analytical
data analytics
information technology"
Data Scientist,Maruti Suzuki,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-6 Yrs,"san
prototype
people development
data management
analytical
genetics
operations
analytics"
Data Scientist-Deep Learning/Transformer,Maruti Suzuki,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-10 Yrs,"image processing
python
natural language processing
scikit-learn
neural networks
machine learning
artificial intelligence
text analytics"
Data Scientist,Maruti Suzuki,Bengaluru,3-8 Yrs,"deep learning
machine learning
programming
infrastructure
clinical research
model development
natural language processing
public health"
Data Scientist,Maruti Suzuki,Bengaluru,2-4 Yrs,"product management
quality monitoring
machine learning
radiology
healthcare
natural language processing
data quality
continuous improvement"
Data Scientist,Maruti Suzuki,"Chennai, Bengaluru",5-7 Yrs,"analytical
wellness
data mining
teradata
analytics
financial services
monitoring
product marketing"
Data Scientist - MLB,Maruti Suzuki,Bengaluru,2-3 Yrs,"it services
logistic regression
head business development
sas
machine learning
vendor
forecasting
crm"
Data Scientist,Maruti Suzuki,Bengaluru,5-10 Yrs,"usage
data science
spark
programming
python
data
program
science"
Data Scientist Predictive Modelling,Maruti Suzuki,Bengaluru,10-12 Yrs,"data modeling
coding
e-commerce
predictive modeling
html
hr
predictive
hrsd"
Data Scientist - AI ML Team,Maruti Suzuki,Bengaluru,8-13 Yrs,"computer science
automation
artificial intelligence
machine learning
data collection
risk management
monitoring
sql"
Data Scientist,Maruti Suzuki,Bengaluru,2-6 Yrs,"training
san
data analysis
backend
data science
machine learning
venture capital
equity"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,3-5 Yrs,"computer science
operations research
analytical
machine learning
algorithm development
data structures
healthcare
test cases"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,4-9 Yrs,"stress testing
team management
coding
bfsi
analytical
risk modeling
healthcare
credit risk"
Data Scientist,Equifax Credit Information Services Private Limited,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"data analysis
operations research
social science
analytical
report writing
mysql
cloud
database"
Machine Learning-data scientist,Equifax Credit Information Services Private Limited,Bengaluru,2-6 Yrs,"machine learning
machine"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,4-9 Yrs,"performance tuning
analytical
postgresql
administration
perl
sql
nosql
analytics"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,3-7 Yrs,"manager quality assurance
git
production planning
analytical
web development
machine learning
microsoft
wifi"
Data Scientist,Equifax Credit Information Services Private Limited,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"statistical programming
tableau
machine learning
programming
calculus
data visualization
credit risk
data mining"
NLP Data Scientist AI Real World Data (RWD),Equifax Credit Information Services Private Limited,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,"computer science
health insurance
pharma
analytical
machine learning
hipaa
healthcare
life sciences"
Data Scientist,Equifax Credit Information Services Private Limited,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,"computer vision
gcp
artificial intelligence
mysql
machine learning
php
data structures
sql"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,8-10 Yrs,"base sas
excel
data science
data modeling
sql
python
data
science"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,2-5 Yrs,"data analysis
machine learning
programming
power bi
product design
predictive modeling
pattern recognition
analytics"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,2-7 Yrs,"supply chain
computer science
google analytics
business analyst
coding
machine learning
healthcare
data mining"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,3-8 Yrs,"data analysis
factor analysis
linux
machine learning
hypothesis testing
data processing
big data
sql"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,3 Yrs,"business objects
sas
xml
mysql
javascript
data collection
data processing
data analyst"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,5-10 Yrs,"computer vision
deep learning
automation
networking
image processing
artificial intelligence
diversity and inclusion
machine learning"
Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,3-5 Yrs,"computer science
prototype
git
analytical
machine learning
information retrieval
data quality
forecasting"
Data Scientist with LLM Background,Equifax Credit Information Services Private Limited,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,"statistical analysis
data science
machine learning
programming
natural language processing
research
statistics
python"
